 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure
10900  -0.44176E+03   0.70689E+02  -0.51245E+03   0.47602E+00  -0.73057E+00
10950  -0.44176E+03   0.79690E+02  -0.52145E+03   0.53663E+00  -0.10615E+01
11000  -0.44176E+03   0.83439E+02  -0.52520E+03   0.56188E+00  -0.12779E+01
11050  -0.44176E+03   0.77139E+02  -0.51890E+03   0.51945E+00  -0.11506E+01
11100  -0.44176E+03   0.79679E+02  -0.52144E+03   0.53656E+00  -0.13390E+01
11150  -0.44176E+03   0.79572E+02  -0.52134E+03   0.53584E+00  -0.14027E+01
11200  -0.44176E+03   0.81784E+02  -0.52355E+03   0.55073E+00  -0.14973E+01
11250  -0.44176E+03   0.80789E+02  -0.52255E+03   0.54404E+00  -0.13805E+01
11300  -0.44176E+03   0.71725E+02  -0.51349E+03   0.48300E+00  -0.94129E+00
11350  -0.44176E+03   0.71045E+02  -0.51281E+03   0.47842E+00  -0.90084E+00
11400  -0.44176E+03   0.75227E+02  -0.51699E+03   0.50658E+00  -0.10536E+01
11450  -0.44176E+03   0.74825E+02  -0.51659E+03   0.50387E+00  -0.10060E+01
11500  -0.44176E+03   0.73411E+02  -0.51517E+03   0.49435E+00  -0.98229E+00
11550  -0.44176E+03   0.80666E+02  -0.52243E+03   0.54320E+00  -0.13515E+01
11600  -0.44176E+03   0.73984E+02  -0.51575E+03   0.49821E+00  -0.11968E+01
